Open,High,Low,Close,Adj Close,Volume,SMA_50,SMA_200,Daily_Return
118.72000122070312,121.19999694824219,118.1500015258789,120.70999908447266,118.09976959228516,112559200,116.92299942016602,88.5934997177124,-0.00396075045188371
121.27999877929688,121.55000305175781,118.80999755859375,119.0199966430664,116.44632720947266,115393800,117.02534942626953,88.81316219329834,-0.014000517390639566
119.95999908447266,120.41999816894531,115.66000366210938,115.9800033569336,113.4720458984375,120639300,117.12269943237305,89.02127471923828,-0.025541870037600223
116.19999694824219,118.9800033569336,115.62999725341797,117.51000213623047,114.96895599365234,124423700,117.21834945678711,89.23407474517822,0.013191918736096486
116.66999816894531,118.70999908447266,116.44999694824219,116.87000274658203,114.34280395507812,89946000,117.36824951171874,89.44543724060058,-0.005446339698866431
117.44999694824219,118.04000091552734,114.58999633789062,115.75,113.24701690673828,101988000,117.42304946899414,89.64519973754882,-0.009583320957137431
116.38999938964844,116.55000305175781,114.27999877929688,115.04000091552734,112.55237579345703,82572600,117.42364944458008,89.83336223602295,-0.006133901377733508
114.01000213623047,116.55000305175781,112.87999725341797,115.05000305175781,112.56214904785156,111850700,117.42649948120118,90.02069976806641,8.694485527538376e-05
115.48999786376953,117.27999877929688,114.54000091552734,116.5999984741211,114.07865142822266,92276800,117.46634948730468,90.20749977111817,0.01347236315731326
115.05000305175781,115.43000030517578,111.0999984741211,111.19999694824219,108.79541778564453,143937800,117.37909942626953,90.37264976501464,-0.046312192080151804
112.37000274658203,116.93000030517578,112.19999694824219,115.31999969482422,112.8263168334961,146129200,117.37134948730468,90.5600747680664,0.03705038542851469
111.05999755859375,111.98999786376953,107.72000122070312,108.86000061035156,106.50601196289062,190272600,117.18304946899414,90.71032478332519,-0.05601802897648289
109.11000061035156,110.68000030517578,107.31999969482422,108.7699966430664,106.41795349121094,122866900,116.87104934692383,90.85576225280762,-0.0008267863933540953
109.66000366210938,111.48999786376953,108.7300033569336,110.44000244140625,108.0518569946289,107624400,116.56269943237305,91.01224975585937,0.01535355198934174
114.13999938964844,115.58999633789062,112.3499984741211,114.94999694824219,112.46431732177734,138235500,116.36519943237305,91.1898747253418,0.04083660274481349
117.94999694824219,119.62000274658203,116.87000274658203,119.02999877929688,116.45610809326172,126387100,116.21534942626953,91.38598720550537,0.03549370978140831
118.31999969482422,119.19999694824219,116.12999725341797,118.69000244140625,116.32378387451172,114457900,116.08894943237304,91.58154972076416,-0.002856392013588449
120.5,121.98999786376953,116.05000305175781,116.31999969482422,114.00104522705078,154515300,115.9191993713379,91.7769622039795,-0.019968006553475526
115.55000305175781,117.58999633789062,114.12999725341797,115.97000122070312,113.65802001953125,138023400,115.6577995300293,91.95969970703125,-0.003008927742772949
117.19000244140625,119.62999725341797,116.44000244140625,119.48999786376953,117.10783386230469,112295000,115.36399963378906,92.15172470092773,0.03035264815051164
119.62000274658203,120.52999877929688,118.56999969482422,119.20999908447266,116.83342742919922,103162300,115.12019973754883,92.34293720245361,-0.0023432821516667923
119.44000244140625,119.66999816894531,117.87000274658203,119.26000213623047,116.88243865966797,81581900,115.08779983520508,92.55234970092773,0.00041945350341277
